                                                  review  stars
2862   "This is a good place to get some tasty pitas ...    5.0
2863   "We are from Vegas which is full of five-star ...    5.0
2864   "We went to Vegas looking for a good Tai resta...    5.0
2865   "The best restaurant chain that knows how to r...    5.0
2866   "This place is so damn good. So damn good! The...    5.0
2867   "This place is awesome. Has gluten free option...    5.0
2868   "I'm downgrading my review substantially today...    4.0
2869   "Burgatory is always a good time with good foo...    5.0
2870   "The service here is EGGcellent.  You wait in ...    2.0
2871   "Excellent value! We were there for breakfast ...    5.0
2872   "Stumbled on Gabe's. We're told right when we ...    4.0
2873   "Came in for breakfast with my daughter. Great...    5.0
2874   "Newly opened hotdog place and I am from Chica...    3.0
2875   "Came here before the leafs game with a friend...    4.0
2876   "I'm not sure I want to share this place...  d...    5.0
2877   "Went here looking for a new place to eat for ...    5.0
2878   "Very predictable and reliable.  My husband an...    4.0
2879   "Ate here for lunch on a Sunday afternoon. Was...    5.0
2880   "It was fine.  As a rule, I am suspect of plac...    5.0
2881   ""If you are always trying to be normal, you w...    4.0
2882   "Authentic Mexican food in Vegas! $2/taco a li...    5.0
2883   "Thank god we have a good sushi place in North...    5.0
2884   "I have visited this establishment a few times...    5.0
2885   "Location is awesome. Walking distance from do...    5.0
2886   "Gluten free beer is the way to go! Just ask S...    5.0
2887   "They waiters are very clumsy and don't really...    1.0
2888   "We came here for the first time. We are from ...    1.0
2889   "LONG WAIT + DELICIOUS RAMEN = WORTH IT. Ramen...    4.0
2890   "I love beer, so naturally while visiting the ...    3.0
2891   "I dig The Parlor.  Their pizzas are great, ol...    5.0
2892   "Everytime I visit Arizona, I have to eat here...    5.0
2893   "We stopped in here in February to check out h...    4.0
2894   "The server had a great attitude and was helpf...    3.0
2895   "Hands down my favorite spot for Mexican food....    5.0
2896   "The service and quality/portion-to-price food...    5.0
2897   "Papas the best called in the order on a busy ...    5.0
2898   "Came here for dinner on a saturday night. It ...    5.0
2899   "My kids love the chicken and steak on a stick...    5.0
2900   "This Aji Sai a tiny place on Yonge St. just n...    4.0
2901   "Need your fix of legit Japanese? This is the ...    5.0
2902   "A few weeks ago when the outbreak broke in Bo...    1.0
2903   "So I am on my way out of CLE (Cleveland Airpo...    2.0
2904   "Good food, decent priced lunch menu.  Definit...    5.0
2905   "First time here happened to be Friday the 13t...    4.0
2906   "I went there for my first date. The service w...    5.0
2907   "This little gem is by far my favorite coffee ...    5.0
2908   "Dinner Buffet is $8.00 plus $1.25 for Drink. ...    4.0
2909   "Fantastically awesome. Best sauce I've had in...    5.0
2910   "We stopped in looking to try their fish tacos...    4.0
2911   "Best breakfast sandwich I've had in a very lo...    5.0
2912   "Sushi requires fresh fish. I don't think this...    5.0
2913   "Typical sports bar, nothing special here.  Go...    4.0
2914   "Got the steak and eggs with the "filet mignon...    5.0
2915   "It took 30 minutes for our fried pickles and ...    1.0
2916   "This place is absolutely horrendous. The meat...    5.0
2917   "I'm not usually a sushi fan but I thought thi...    4.0
2918   "Yikes. After quite a nice meal here two years...    1.0
2919   "If you're looking for a cheap but yummy lunch...    4.0
2920   "My favorite place to go for bbq! But you have...    5.0
2921   "The food is alright but it is NOT worth the t...    1.0
2922   "Eh...the hamburger (with tomatoes, onions, pi...    4.0
2923   "holy cow! when you ask for medium, be careful...    4.0
2924   "The chicken sandwich that I had was perfect.....    5.0
2925   "I love MM, and the service here is great. The...    5.0
2926   "Service was good. I had their French toast wh...    4.0
2927   "Stopped in with my family for breakfast on ou...    5.0
2928   "All i can say is we loved this place after fi...    5.0
2929   "A little disappointing overall.  My mother is...    5.0
2930   "The tenders were good, the fries not so much....    4.0
2931   "It was a dreary night and while I was driving...    4.0
2932   "Glad we tried this authentic Mexican restaura...    5.0
2933   "A good option for a quick and healthy breakfa...    4.0
2934   "This place is delicious. I've seen it a few t...    5.0
2935   "Best lobster rolls in the south!!! So good .....    5.0
2936   "This slop is what they call pizza. Barely coo...    1.0
2937   "My wife and I visited The Parlor for the firs...    5.0
2938   "Solid food! Glad we made the drive. My litmus...    4.0
2939   "Are you sick of fighting for tiny bistro tabl...    4.0
2940   "Kids are welcome back. The steaks are still g...    5.0
2941   "Darn good chargrilled burger for the money.  ...    4.0
2942   "Always looking for a non-chain  near home.  M...    4.0
2943   "We dined as a large party of 14!   I had the ...    5.0
2944   "Spinato's: Now better at nickel and dime-ing ...    1.0
2945   "What a gem! I loved this place. The patio was...    5.0
2946   "One of my favorite restaurants in Vegas! The ...    5.0
2947   "close to Linq，busy street. recently opened。pr...    4.0
2948   "If there was an option I would have given Ajo...    5.0
2949   "Good service, tasty margarita, so so food. . ...    4.0
2950   "This was my first visit and I wasn't sure wha...    5.0
2951   "Decent place to go have a drink. Really good ...    3.0
2952   "I got the giant burrito with pork. There was ...    3.0
2953   "I wish I could join the chorus. I really like...    4.0
2954   "Our first day in Vegas was a rainy day in the...    4.0
2955   "The wait is worth it! And in Saturday morning...    5.0
2956   "This place was great! Tried it out for lunch....    5.0
2957   "Walking into BT's Burgerjoint, one is immedia...    3.0
2958   "I absolutely love the steampunk theme!! The c...    5.0
2959   "Without a doubt, my favorite burger spot in P...    4.0
2960   "Back in 2006, I visitied Vegas for the first ...    3.0
2961   "Hands down, best veggie pizza I've had to dat...    5.0
2962   "Nice atmosphere, nicely decorated, good music...    4.0
2963   "Thoroughly enjoyed my time here! I had sushi ...    5.0
2964   "I get the concept but unfortunately this didn...    4.0
2965   "Went here 2 times, the sweet potato fries roc...    4.0
2966   "Bad airport food. Who runs out of pancakes in...    1.0
2967   "Drinks: the Italian Stallion martini was very...    4.0
2968   "Yummy! My new favorite place! I tried a few t...    4.0
2969   "We are new to the area and decided to go eat ...    5.0
2970   "Came here the other morning for some early mo...    5.0
2971   "I've been a fan of the Cornish Past Co. for y...    4.0
2972   "Love this place!! Everything I have gotten ha...    5.0
2973   "Nice laid back atmosphere good food friendly ...    5.0
2974   "Great food and nice servers, but extremely sl...    5.0
2975   "The dude at the omelet station looks like Wal...    4.0
2976   "We went here on a Friday night so it was unde...    4.0
2977   "Decent Hibachi food. Solid 3 stars.. . My boy...    2.0
2978   "LOVE...Food was excellent and the wine list w...    5.0
2979   "Excellent food and coffee coming from a great...    5.0
2980   "BC Breakfast is the place to go, especially i...    5.0
2981   "After reading an article about the California...    3.0
2982   "One of the best burger places I have ever bee...    5.0
2983   "Very good food and interesting combination. P...    4.0
2984   "Good beer selection, friendly and helpful sta...    5.0
2985   "Extremely slow service. Ordered all you can e...    1.0
2986   "After my last experience I was ready to write...    5.0
2987   "Love the fact that this restaurant is located...    4.0
2988   "Why is everyone so gassed on mums? I think th...    3.0
2989   "2 for 1 Happy Hour drinks after a long day at...    3.0
2990   "Great food! Neat variety of sandwiches that a...    5.0
2991   "Very disappointing. Hardly any wait, and now ...    4.0
2992   "This is a very very nasty store I went there ...    4.0
2993   "Fairly hard to find this place.. Their A-Fram...    4.0
2994   "I'll bump the stars to four since the service...    4.0
2995   "I love a good bagel place. I just recently. m...    4.0
2996   "I love the bar at this restaurant. Even thoug...    4.0
2997   "I appreciate the fact that they have a veggie...    4.0
2998   "First time visiting Toronto and wanted a good...    5.0
2999   "Very good BBQ. I had ribs,pulled pork, link,b...    4.0
3000   "Not worth the trouble. Tough to park, an hour...    5.0
3001   "I was introduced to this place a few years ag...    5.0
3002   "I go through phases where I Yelp stalk my fri...    4.0
3003   "Topher Adam Approved! I'm a picky eater and, ...    5.0
3004   "**Summary**.        - Flavor - The pizza was ...    3.0
3005   "This pizza is delicious, and worth the price....    5.0
3006   "For a place with burger in their name this wa...    3.0
3007   "This place is excellent (and well priced) for...    5.0
3008   "Went for dinner having eaten here for lunch p...    4.0
3009   "The food here is good but the cuatomer servic...    1.0
3010   "Fun place if you like noise and entertainment...    5.0
3011   "There are only 18 seats with a never ending l...    5.0
3012   "Yes it is a French Style eatery, but does the...    1.0
3013   "Panera bread ain't got shit on Paradise Baker...    5.0
3014   "Great food, many dishes are not traditional "...    5.0
3015   "My husband brought home a pizza tonight for d...    5.0
3016   "Freaking awesome breakfast, rock solid servic...    5.0
3017   "I came here for lunch on a weekday because I ...    4.0
3018   "Still great food and service. Pu pu platter. ...    5.0
3019   "This steakhouse is pricey for the food you re...    1.0
3020   "So within the Linq next to an entrance to the...    3.0
3021   "Four of us went during the first few days thi...    4.0
3022   "What a hidden gem! I didn't try the baked pan...    5.0
3023   "Way, way in the past, before golden arches ex...    3.0
3024   "I love this place they have the best buffalo ...    5.0
3025   "So glad that this has opened up near our hous...    5.0
3026   "My last and first time I had InNout was in da...    5.0
3027   "Got delivery (via doordash) and when I say im...    5.0
3028   "I've only been here for lunch. As an east coa...    4.0
3029   "having recently moved here from near Old Ford...    5.0
3030   "Great spot to grab breakfast or lunch in the ...    5.0
3031   "We usually go to Roy's for espacial occasion ...    5.0
3032   "I have no idea what I walked into, but I thin...    4.0
3033   "do not do not eat here. rude customer service...    1.0
3034   "I know a lot of people now a days are against...    5.0
3035   "I had dinner here with a friend recently whil...    4.0
3036   "I agree with everyone that eating outside her...    4.0
3037   "I've only ever been to this place one other t...    5.0
3038   "Had dinner here with hubby and toddler. . Gre...    4.0
3039   "I don't know how you can give Denny's anythin...    4.0
3040   "Cool little spot. Love the bar and the couche...    5.0
3041   "I really enjoyed my time here, The atmosphere...    4.0
3042   "Fat Choy burger is the best burger I've ever ...    5.0
3043   "Excellent service by Isabella. Food was fresh...    5.0
3044   "I never complain about chipotle. But today I ...    1.0
3045   "Great food and great service. There is always...    5.0
3046   "I wanted to try the new mozzarella sticks and...    1.0
3047   "There is something to be said for simplicity,...    1.0
3048   "Chako was a nicer atmosphere and fancier insi...    1.0
3049   "A great little coffee shop that is on one of ...    4.0
3050   "Make sure you stop in 20-30min before you're ...    5.0
3051   "Solid joint. Great light food. Very happy wit...    5.0
3052   "I ABSOLUTELY LOVE THIS PLACE! Every time I co...    5.0
3053   "I agree its a typical mall food court. I ate ...    4.0
3054   "Tried it out three times and have yet to be i...    2.0
3055   "This place is crowded.. I have been to almost...    4.0
3056   "Definitely avoid this place. . . I just picke...    1.0
3057   "I am in love with My Love. Yes, my love is an...    4.0
3058   "Juicy and flavorful bento boxes and terrific ...    5.0
3059   "Local Dish is always great. They have a reall...    5.0
3060   "I am honestly flabbergasted and perplexed abo...    4.0
3061   "We have eaten here a number of times. If we w...    5.0
3062   "Went there last night and was shocked as to h...    1.0
3063   "Incredible atmosphere, live music, very frien...    5.0
3064   "Dear Top Golf,. . Get it together. I've been ...    5.0
3065   "Absolutely superb bread! I think the baguette...    5.0
3066   "After a fun night out in vegas. It wouldn't b...    5.0
3067   "All I have to say is GET THERE EARLY so you d...    4.0
3068   "Whoa, was the hostess hot. Dirty blonde hair ...    4.0
3069   "Awesome fries and the rolls they use for the ...    5.0
3070   "Service was quick, waitress was kind and atte...    5.0
3071   "Innovative, fun menu.. . Beautiful decor and ...    5.0
3072   "We came on a Friday Night and the food and se...    5.0
3073   "I had a teriyaki chicken and steak bowl as we...    4.0
3074   "I like their dishes :) it's very authentic an...    5.0
3075   "I have been in Vegas for 10 years, and was lo...    4.0
3076   "New Mexico-style food in Mesa, AZ. This place...    5.0
3077   "Probably the worst pizza I've had. I was look...    1.0
3078   "This buffet is worth it! Chinese food with re...    5.0
3079   "A friend of mine suggested going to Honey Sal...    4.0
3080   "This is a small sandwich shop located at a st...    4.0
3081   "Good cocktail menu with a mix of seasonal cla...    4.0
3082   "I decided to try this place based on yelp rev...    2.0
3083   "Lousy Corporate Food, is how I would describe...    1.0
3084   "I have been eating at Zen for a few years now...    5.0
3085   "Decor is classy, old Vegas with a polished fe...    4.0
3086   "We have visited this restaurant several times...    5.0
3087   "On a tear looking for new places to chow in M...    4.0
3088   "There don't seem to be a lot of places to get...    4.0
3089   "Enjoyed an early dinner ,7 pm, for four peopl...    5.0
3090   "I brought my visiting gal pals to V Picasso f...    5.0
3091   "Most of the Greek food in Toronto are salty a...    5.0
3092   "Good jewish deli.   Usually get the Pastrami ...    4.0
3093   "Great sushi and selection as always. Only rea...    5.0
3094   "So the only reason why this place gets a two ...    1.0
3095   "Not a frequent visitor to Paneras. Ordered  t...    3.0
3096   "Loved this quaint little place! I tried the f...    5.0
3097   "Nice little club in downtown Scottsdale with ...    4.0
3098   "I'm updating my review as George Lipson, Gene...    5.0
3099   "Piper's pub offers an amazing brunch. You wil...    5.0
3100   "Came here on a Saturday night, given it was 9...    4.0
3101   "This placed used to be top notch when they fi...    3.0
3102   "The Greek food here is the best Greek food in...    5.0
3103   "First time going here and did take out. This ...    5.0
3104   "Holy godsend! We came here thrice for the lun...    5.0
3105   "Went there to pick up my bday dinner and was ...    5.0
3106   "Probably the fanciest place i went to during ...    5.0
3107   "Food is really good. The but greeting crew is...    1.0
3108   "Cool looking layout. Only had drinks this tim...    4.0
3109   "If heaven had a bbq restaurant thjs would be ...    5.0
3110   "been here plenty times for the beef soup amaz...    5.0
3111   "We ordered spring rolls and pho with ice soya...    4.0
3112   "I have eaten here many times and never been d...    5.0
3113   "I love this place!  The sandwiches are so fre...    5.0
3114   "Some amazing crepes here!!!  We loved the dul...    5.0
3115   "I attended this Milestones today for lunch an...    2.0
3116   "I had the green chile burger here...HOLY YUMM...    5.0
3117   "Food. - All the pies/cakes were made to perfe...    5.0
3118   "Absolutely the best Prime Rib value near the ...    5.0
3119   "High priced, average food and below average s...    2.0
3120   "Can't comment on the food, but came here for ...    5.0
3121   ""We should check out that new place down Advo...    4.0
3122   "I walked in and the place was packed!. . The ...    4.0
3123   "Food is great but they are very inconsistent ...    4.0
3124   "This place has so much possibility! The views...    1.0
3125   "I was in town for a conference and came here ...    5.0
3126   "A friend and I stopped here before our drive ...    5.0
3127   "I've been ordering from these guys for almost...    5.0
3128   "Well I finally returned unexpectedly today af...    4.0
3129   "I've never had a bad meal here at North. The ...    5.0
3130   "Went in this time and was beyond pleased with...    5.0
3131   "Do not come to this place until you've thorou...    5.0
3132   "Best Part : Food tastes great, and the price ...    5.0
3133   "STRIPBURGER!!!! MUST TRY!!.  My girl and I ha...    4.0
3134   "This is one of those places, downtown Champai...    5.0
3135   "Took longer than expected to get our pick-up ...    1.0
3136   "This is the best place for italian food hands...    5.0
3137   "If you're looking for fancy dining, this is n...    4.0
3138   "Sehr rustikale, gut bürgerliche und alte Haus...    4.0
3139   "Walked in and we asked to sit at the bar. . W...    1.0
3140   "Went there last night for late night dinner a...    5.0
3141   "i oredered take out the other night, and they...    5.0
3142   "Breakfast was good and the busser who was a w...    4.0
3143   "Wasn't sure whether to give 2 or 3 stars. May...    3.0
3144   "First off, I want to say that the hostesses w...    5.0
3145   "My favorite restaurant in Vegas.  Not expensi...    5.0
3146   "Came here for their happy hour with my friend...    3.0
3147   "Babystacks is definitely our favorite breakfa...    5.0
3148   "I wish I could give this place 0 stars! I am ...    1.0
3149   "I love this place! Instead of driving all the...    5.0
3150   "3 stars for the live entertainment and the wi...    4.0
3151   "Growing up a Yinzer, I always thought that th...    4.0
3152   "I got the small Italian sub and it is packed ...    2.0
3153   "Cute little place in Vegas. The best part abo...    5.0
3154   "I see a couple recent negative reviews and I'...    4.0
3155   "Came here with family and the staff here are ...    5.0
3156   "I've been to Lebowski's a couple of times now...    4.0
3157   "The moment we walked in we knew the food woul...    4.0
3158   "love the pho and spring rolls !!! the best vi...    5.0
3159   "We came here for Tuesday night trivia and had...    1.0
3160   "I highly recommend NOT heading here. Lousy se...    1.0
3161   "Excellent homemade pasta! The appetizers - po...    5.0
3162   "Great Food, Terrible Service.  . I had placed...    1.0
3163   "Normally when I come here I have a bunch of i...    5.0
3164   "This is the best thai food in town!! I have n...    5.0
3165   "With my Groupon about to expire I made my way...    4.0
3166   "Like that they have yam as an option. The hig...    4.0
3167   "I came here 7 am sharp as an early bird. Came...    4.0
3168   "Authentic New England-style deli with great  ...    5.0
3169   "I'm not one to read or write reviews about re...    4.0
3170   "I have been waiting for this place to open fo...    4.0
3171   "I don't understand the idea of banana peppers...    4.0
3172   "I stopped in this afternoon during happy hour...    3.0
3173   "Open Ultra late, the chefs are insanely hilar...    5.0
3174   "A nice little Portuguese restaurant, smack da...    4.0
3175   "The service is wonderful and so is the food. ...    5.0
3176   "Went here last night with a group of six. It ...    5.0
3177   "It's a see and be seen type of place in the E...    4.0
3178   "I love carne fries with extra pico and sour c...    4.0
3179   "AVOID!!!! Went for dinner on a week day. Staf...    1.0
3180   "Clean. Friendly service. Good price (from hot...    4.0
3181   "Great service, but food not so great. Ordered...    4.0
3182   "I am very disappointed to write a heavy-on-th...    1.0
3183   "I had a great time at Oishi!  Last night, I w...    4.0
3184   "If 0 was available it would apply here.  I do...    1.0
3185   "This little gem was a few doors down from the...    5.0
3186   "Very very good dosa. What sets this place apa...    2.0
3187   "Oh, bibimbop. I love you. . . Ha Ahn Korean i...    4.0
3188   "Went to Lo Zingaro after a long day of work. ...    5.0
3189   "My experience at this Pizza Hut has been good...    4.0
3190   "This review only refers to hosting a party, a...    4.0
3191   "I was underwhelmed.. . My mom's been raving a...    1.0
3192   "Decent little place. The poutine was a little...    5.0
3193   "Ruben and I met here for lunch to take advant...    4.0
3194   "In college, my friends and I used to go here ...    5.0
3195   "We've gotten take out from here a couple of t...    5.0
3196   "Never a great sign when you enter a giant res...    4.0
3197   "I loved it here. I had he miso ramen and it w...    5.0
3198   "Need a place to eat on a guys trip to Vegas? ...    5.0
3199   "Tacos in Chinatown? Yep!!!. . They are good. ...    4.0
3200   "Turkish Kitchen has great Mediterranean food!...    5.0
3201   "Came here for lunch to try out before my next...    3.0
3202   "Big Guy's Pizza & Pasta is small restaurant t...    4.0
3203   "I loved everything about this place.  They ha...    5.0
3204   "This place has got it figured out.  The food ...    5.0
3205   "this place was great.music was awsome.food wa...    5.0
3206   "Sushi is ok, not the best, but decent given t...    4.0
3207   "Pizza look good, but the crust was very tuff ...    4.0
3208   "Very nice and affordable all you can eat sush...    3.0
3209   "Nice place, awful food overpriced. I tried my...    1.0
3210   "Tired this pizza by chance last night.  When ...    5.0
3211   "This place is AWESOME!. . From the outside yo...    5.0
3212   "My friends and I ate here while staying at th...    1.0
3213   "LGO Pizzeria is attached to the grocery.  You...    5.0
3214   "I will tell you this is an Emeral restaurant ...    5.0
3215   "When we got there they never gave us the menu...    1.0
3216   "Came back today and tried a brunch. The servi...    4.0
3217   "Ordered the famous "Butter Burger" medium rar...    5.0
3218   "I love their food. It's one of my favorite pl...    5.0
3219   "I've been to many Rubio's in California and L...    5.0
3220   "Amazing !!! I always get the chicken grilled ...    5.0
3221   "Hakka wow deserves it's wow name. . . food: d...    4.0
3222   "Food is good, service is good most of the tim...    4.0
3223   "We used our Groupon here and were actually re...    5.0
3224   "Last night was the second time I've eaten at ...    5.0
3225   "The people here are so friendly and helpful! ...    5.0
3226   "We visit this location often. They are usuall...    5.0
3227   "Provo is a wonderful addition to the central ...    5.0
3228   "Hurricanes: the plural of hurricane. After dr...    5.0
3229   "My wife and I had the occasion to trip into t...    4.0
3230   "I've lived all over the US, and had Italian f...    5.0
3231   "Best pizza in the East Valley! SOOOOOOO good....    5.0
3232   "Simply put, this place is the bees knees.  I'...    5.0
3233   "Blueberry Hill is the most awesome place righ...    5.0
3234   "Horrible pizza, and we were sick after eating...    1.0
3235   "I've only ordered delivery from Ichiban, but ...    4.0
3236   "Here's the deal: I want this place to do well...    4.0
3237   "Everything we ordered was delicious.  Service...    5.0
3238   "I was passing through Edinburgh and fancied a...    5.0
3239   "While Yu Yu's idea is good-in essence a creat...    4.0
3240   "I love this place, I actually prefer this one...    4.0
3241   "This. Place. Is. Loud. . . My colleague and I...    5.0
3242   "Service was really friendly, the staff were g...    5.0
3243   "After reading the reviews on this site, I was...    4.0
3244   "This is my new favorite Chinese restaurant. I...    5.0
3245   "Love this place. Outdoor seating. Great selec...    5.0
3246   "Love the Emerald Isle where you can choose th...    5.0
3247   "Overpriced and terrible service. Had to wait ...    1.0
3248   "We got our buffet lunch comped from our few d...    4.0
3249   "Ok I take it ALL BACK! stay away unless you w...    1.0
3250   "The burgers are outstanding! Can't wait to go...    5.0
3251   "So we were meeting a group of business types ...    1.0
3252   "It's in the middle of nowhere and indoor seat...    5.0
3253   "Their delivery is the fastest in town!  The f...    5.0
3254   "Went twice at a festival - first time never s...    1.0
3255   "It was my first time there. A friend of mine ...    5.0
3256   "Came here late on a Saturday, and got seated ...    4.0
3257   "Went there on a Sunday to have dinner.  When ...    1.0
3258   "The service is impeccable! Christos was quite...    5.0
3259   "I have read several reviews where people have...    3.0
3260   "*sigh*. . I just never go to Gandhi anymore n...    1.0
3261   "A must try for every fried chicken lover. Gen...    5.0
3262   "My mom and I decided to go to Arcadia farms f...    1.0
3263   "Damn you Man v. Food for taking us to this cr...    3.0
3264   "Really enjoyed our first visit. Poutine was v...    4.0
3265   "one of the BEST MEALS i've had was here! muss...    5.0
3266   "Fantastic.  Just fantastic.. . I came here du...    5.0
3267   "Surprisingly good beer bar. We were just walk...    4.0
3268   "So far I can only give it two stars. And that...    1.0
3269   "The best Italian food I have ever experienced...    5.0
3270   "I loved this buffet it was amazing! I didn't ...    5.0
3271   "I enjoyed eating here - it's much better than...    4.0
3272   "I just got a super tasty meal from Burger de ...    5.0
3273   "While I am a huge fan of Mexican and am alway...    4.0
3274   "Came here due to word of mouth, billboards cl...    5.0
3275   "In a world torn asunder by the war between Th...    4.0
3276   "Love it! we had a wonderful meal ! We finishe...    5.0
3277   "Been going here for many years, and recently ...    4.0
3278   "Some friends and I went for lunch one day.  T...    3.0
3279   "You know. EVERY TIME I order take out I ask f...    1.0
3280   "My husband and I eat here at LEAST once a mon...    5.0
3281   "Let me begin by saying this is by far the bes...    4.0
3282   "Good: Food was pretty good overall. Blackened...    5.0
3283   "What's going on? I've been coming here close ...    1.0
3284   "Although the wait staff are quick, friendly a...    4.0
3285   "Great Food.. We started w/Avocado fries then ...    5.0
3286   "This place is pretty awesome!  There are diff...    5.0
3287   "I don't get the hype for this place. I'm not ...    3.0
3288   "Love the tacos here the al pastor is great . ...    5.0
3289   "Now called Chen's (not to be confused with th...    1.0
3290   "Wow, this is an awesome funky little taco sho...    5.0
3291   "This place was exactly as expected! Decent fo...    5.0
3292   "This place gets 5/5 for originality and flavo...    4.0
3293   "I pied my cochon the food was do dam f'n good...    4.0
3294   "I don't know what's wrong with me but I truly...    4.0
3295   "We had an excellent meal today.  We had the 4...    4.0
3296   "First clue it wasn't going to be great......g...    4.0
3297   "This place seemed like a casual bar, go seat ...    4.0
3298   "We went back to give them another try and it ...    5.0
3299   "The place was very nice inside and outside. T...    5.0
3300   "Highly recommended! Excellent food, excellent...    5.0
3301   "Went there NYE for dinner and had a great exp...    4.0
3302   "I ordered for delivery at 9:31. The driver ca...    1.0
3303   "Wonderful food, every time I go to any locati...    5.0
3304   "This is an extraordinary place, current price...    5.0
3305   "We went there last night because we heard of ...    5.0
3306   "YOU CAN ACTUALLY COUNT THE DADS.  No, serious...    5.0
3307   "Since it's pricey here, I just get the kids m...    3.0
3308   "This place is the perfect meeting spot to cat...    5.0
3309   "Extremely avg to below.. People - we have so ...    5.0
3310   "What can I say? Classy, fun. $5 glasses of wi...    5.0
3311   "Burger was real good. Fries were under cooked...    4.0
3312   "Casual, fast dining in a nice outdoor setting...    5.0
3313   "I had a turkey burger w Brie cheese, lettuce,...    4.0
3314   "Most amazing BBQ I have ever tried! Their bri...    5.0
3315   "Nice decor and a friendly staff greet you whe...    3.0
3316   "So I come here often probably once a week and...    5.0
3317   "Very disappointed! After my first time on Que...    1.0
3318   "been here a few times now.  it's always a bla...    5.0
3319   "Unfortunately I am not able to critique the f...    1.0
3320   "Much better food and old style surroundings t...    4.0
3321   "Very good, and fastest pizza made. Me and my ...    4.0
3322   "I don't understand all these good reviews? Th...    1.0
3323   "The first Melting Pot I ever went was in Denv...    5.0
3324   "Seriously good street tacos. The people behin...    5.0
3325   "I absolutely LOVE this place.  The wings are ...    5.0
3326   "Had this place recommended by staff at the la...    5.0
3327   "Absolutely everything you expect a hole in th...    5.0
3328   "Great food! I always order cheese enchiladas ...    5.0
3329   "I was greeted and sat down waited for 10 mins...    1.0
3330   "I gotta say, G&P is a very solid 4 stars for ...    4.0
3331   "Love this cozy coffee shop. Great drinks and ...    5.0
3332   "Late night...that's all you need to know.  Th...    5.0
3333   "The food is always amazing and fresh!' The em...    5.0
3334   "Excellent food and coffee. I also love their ...    5.0
3335   "This was officially my 1st restaurant I went ...    5.0
3336   "I drink black coffee, and so can't stand goin...    5.0
3337   "Place was good enough that i'd come back. Chi...    4.0
3338   "Carmen, carmen, carmen!. . This newly opened ...    5.0
3339   "Came for HH and a craving for the Bacon Blood...    4.0
3340   "I'm starting to get the hang of Indian food, ...    5.0
3341   "I'm so pleased to say that Dante's Inferno Pa...    5.0
3342   "Cadre agréable, un plat de pâte délicieux acc...    4.0
3343   "First time getting pizza from here. Excellent...    5.0
3344   "Tried this place again, during the weekday......    4.0
3345   "Great food!  Best subs in Monroeville!  Love ...    5.0
3346   "Carl was way cool and has the best back story...    5.0
3347   "This place is the unhealthy equivalent of Hil...    5.0
3348   "One last stop before leaving Montreal, and I'...    5.0
3349   "My Shrimp Rolls were not the best and everyth...    5.0
3350   "Seems like a lot of people have reported issu...    5.0
3351   "Fresh mozarella with tomato and pesto = oh Go...    5.0
3352   "The slowest, unprofessional subway workers in...    1.0
3353   "So, when you show up at the restaurant and te...    5.0
3354   "Severs couldn't understand how to break up th...    3.0
3355   "This is a must for brunch it's sooooo good. I...    5.0
3356   "not normally in this area but was looking for...    4.0
3357   "I finally re-visited Grabbagreen. Although th...    1.0
3358   "Horrible service!!!  Mashed potatoes came out...    1.0
3359   "I tried this place when I was doing a transfe...    3.0
3360   "Went for lunch by myself when I was serving a...    5.0
3361   "Average at best. Three stars is probably too ...    5.0
3362   "My husband and I went there today for lunch, ...    5.0
3363   "Went for happy hour. Bartender was the worst ...    1.0
3364   "Exceptional Food and Limited Dining which res...    5.0
3365   "Keepin it simple.. . Burgers were great. Abso...    4.0
3366   "First time there was for lunch. The smells we...    5.0
3367   "I went to JJANGA last Saturday, 1/16/16. The ...    5.0
3368   "The atmosphere here is "fun". Very open dinin...    5.0
3369   "They do a solid breakfast and by the looks of...    4.0
3370   "came here because this was the closest place ...    5.0
3371   "Stopped in with the family for root beer floa...    5.0
3372   "I strolled into Due & Proper last Saturday ar...    1.0
3373   "We came in on a relative's recommendation for...    5.0
3374   "I can't say enough good about this place.  I ...    5.0
3375   "This place was awesome.  I ordered the kobe s...    4.0
3376   "We are visiting from NC and look for good loc...    4.0
3377   "I brought a client and his wife to Toro while...    4.0
3378   "Nora's is legendary for Las Vegas. Every loca...    4.0
3379   "Many repeats to the 48 & Warner location as t...    5.0
3380   "This review somehow DISAPPEARED.... This is m...    3.0
3381   "Wow what a disappointing experience tonight! ...    1.0
3382   "I live my the Taj and my friend and I finally...    5.0
3383   "Food was decent, nothing out of the world, be...    4.0
3384   "I don't know if it was just because I drank a...    4.0
3385   "Bought a groupon for this restaurant for week...    4.0
3386   "This and Mastro's are who I judge all steakho...    5.0
3387   "Very exceptional food & service at affordable...    4.0
3388   "Horrible service and food.  $14 continental b...    1.0
3389   "This is by-far the best Thai place in Charlot...    5.0
3390   "Love everything food wise & good vibe. It's g...    5.0
3391   "Sea bass was exceptional! Everyone at the tab...    5.0
3392   "Their lunch deal makes this a great place for...    4.0
3393   "Grand Opening today great margaritas! The Bar...    5.0
3394   "We've been ready to try a new place in Cave C...    5.0
3395   "I don't like spending close to $20 only to op...    1.0
3396   "Ordered the Chicken kebab and had high expect...    4.0
3397   "Every time I go to Vegas I try to eat here, h...    5.0
3398   "I effing love wonderdogs.  It's a bit of a ho...    5.0
3399   "This is, by far, our favorite Mexican place i...    5.0
